lemma	reconstructed_semitic_forms
ebraxia	
ecleni	
ecoini	
edoni[	
eilimare	
elcel	
elicatis	
elmasa	
elua	
emi	
enaris	
enipten	
eporin	
erancun	
erim	
ernemius	
esarius	
esdeia	
esputredan	
esuuia	
esuuius	
eucaddires	ᵓdr
eumorisbas	
euassan	
euassi	
euassus	
euessanu	
exupius	
fa[ ]ir	
faddatiu	
faeda	
faem	pᶜm ; pᶜm
faggura	
fagustan	
faraxen	
farbigil	
farisa	
fasarianus	
fasilia	
fasir	
fasiria	
fassota	
fau	
faussanus	
fazai[	
feklun[	
felaut	
felyssam	
feriusis	
fezinis	
fiddecs	
fileti	
filica	
fintera	
fintir	
firciconis	
fircir	
firindas	
firsicius	
fittau	
fittauis	
fixucchi	
flunia	
focolim	
fofican	
frecten	
fuare	
fudina	
fue	
fusinica	
futinis	
futusai	
fuzai	
fuzon	
fydel	
gabali	
gabull	
gadaeus	
gadaia	
gadais	
gaddala	
gaddi	
gaetula	
gaetulicus	
gaetulus	
gafiuta	
gairnusus	
gaitatis	
gaiuta	
gaiutas	
gala	
gala	
galae	
galam	
galara	
galazus	
gallibalonis	
gamasdrum	
gamice	
ganibosus	
gantal	gwṭ
ganus	
garafin	
garama	
garamantius	
garamas	
gardius	
gargir	
garici	
garicius	
garta	
garuatis	
gato	
gauda	
gaudae	
gaudo	
gdiais	
geddes	
geddo	
gedudus	
gelesa	
gellupus	
genila	
gennla	
gennunis	
gentiussu	
ger	
gerius	
gerrasusu	
gerris	
gesne	
gestaris	grʕštrt ; grᶜštrt
getula	
getulicus	
ghuddis	
gibali	
gibba	
gibbae	
gibus	
gid	
gida	
giddinis	gdnᶜm
gidius	
gigennans	
gildonis	
gilesa	
gilo[	
giluae	
giluentius	
gioris	
giradius	
gisaco	
gisgo	
gisgone	
gisgonem	
gisgonis	
gitel	
gitteus	
gittus	
glitia	
goddaeus	
godde[	
goddeo	
goddos	qdš
godilius	gdᵓl
goggius	
gogius	
gogulus	
golius	
golulianus	
golulius	
gouines	
goutis	
guarizila	
guarsana	
guarsutiae	
gubul	
gubula	
gudala	
guddem	gdnᶜm
guddemi	
guddemis	
guddene	
guddens	
guddentis	
guddus	
gude	
gudei	
gude[i]	
gudeia	
gudeus	
gudia	
gudini	gdnᶜm
gudubal	
gudud	
gududa	
gududi	
gududia	
gududiae	
gududianus	
gududio	
gududus	
guduia	
guduis	
gudul	
gudula	
guduli	
gudulla	
gudulli	
gudullus	
gudulo	
gudulus	
gudus	
guduzo	
guenfan	
guentan	
gulalsa	
gulebian	
gullussam	
gulosa	
gulosus	
gulugae	
gulusa	
gulussa	
gulussa	
gulussae	
gumez	
gumina	
gumma	
guntarith	
gurai	
gurmo	
gurzil	
gusabius	
gusura	kšr
gutla	
gutmali	
gutruris	
gutula	
gutulus	
guzalt	
guzoliano	
gyddem	gdnᶜm ; gdnᶜm
habellius	
hacmca	
haderr	
hafu	
hagiris	
hamilcar	ḥnmlqrt
hamilcare	
hamilcarem	
hamilcari	
hamilcaris	
hamili	
hamillus	
hammon	
hammonem	
hammoni	
hammoniae	
hammonis	
hammonius	
hammonium	
hanapsua	
hannibal	ḥnbᶜl
hannibale	
hannibalem	
hannibali	
hannibalis	
hanno	ḥnᵓ
hannon	
hannone	
hannonem	
hannoni	
hannonis	
haos	
harmatis	
hasdrubal	ᶜzrbᶜl
hasdrubale	
hasdrubalem	
hasdrubali	
hasdrubalis	
hebenus	
hedone	
hesem	
heziua	
hiabar	
hiarbae	
hiarbas	
hiddibal	
hiempsal	
hiempsal	
hiempsale	
hiempsalem	
hiempsalis	
himilcho	
